lr_pair,ligand_gene_symbol,WT_MEF.x,WT_BMDM.x,log2diff.x,receptor_gene_symbol,WT_MEF.y,WT_BMDM.y,log2diff.y,m1
Gng4_Kcnj6,Gng4,1.006327,0.753654,0.194192633114659,Kcnj6,0,0,0,0.194192633114659
Wnt2_Fzd5,Wnt2,2.02092,0.0890084,1.47197289688518,Fzd5,10.726455,2.6994356,1.66438985158081,0.19241695469563
Clu_Vldlr,Clu,15.4599,0.337928,3.6208831856892,Vldlr,15.10817,0.14826901,3.81026002997983,0.18937684429063
Tac1_Tacr3,Tac1,0.167005164,0,0.222810944987599,Tacr3,0.0250987,0,0.0357628240187464,0.187048120968853
Edn2_Kel,Edn2,0.137655,0,0.186063118935271,Kel,0,0,0,0.186063118935271
App_Lrp10,App,753.447,588.005,0.35713967380668,Lrp10,57.9527,51.3065,0.172567651553358,0.184572022253322
Hmgb1_Itgav,Hmgb1,346.48627,184.0031977,0.909405767372353,Itgav,80.8256866,37.33793514,1.09378116664574,0.184375399273387
Colq_Musk,Colq,0.168564322,0,0.224737147451018,Musk,0.028562168,0,0.0406289953745218,0.184108152076496
Lama1_Itga2,Lama1,0.145359,0,0.195799865869727,Itga2,0.312379,0.300432,0.0131934516309132,0.182606414238814
Hmgb1_Itgb3,Hmgb1,346.48627,184.0031977,0.909405767372353,Itgb3,5.4329,2.88614,0.727131386417767,0.182274380954586
Epo_Epor,Epo,0,0,0,Epor,0.336704,0.181038,0.178624645800847,0.178624645800847
Mmp13_Lrp1,Mmp13,5.56408,10.0713,-0.754159907376434,Lrp1,186.5028755,355.3835891,-0.926518183957013,0.172358276580579
Lif_Lifr,Lif,5.500626,0.205919,2.43044564752528,Lifr,9.42024,1.173349,2.2613967376883,0.16904890983698
Ccl22_Ackr2,Ccl22,0.262841,0.634757,-0.372403195140681,Ackr2,0,0.455313,-0.541329472710553,0.168926277569872
Il23a_Il23r,Il23a,0.115377,0.2065712,-0.113381624951094,Il23r,0.038728,0,0.0548179213980148,0.168199546349109
Fgf12_Fgfr4,Fgf12,0.155417,0,0.208413626755594,Fgfr4,0.0285534,0,0.0406166970376511,0.167796929717943
App_Lrp2,App,753.447,588.005,0.35713967380668,Lrp2,0.5162717,0.0573732,0.520043626513603,0.162903952706923
App_Notch1,App,753.447,588.005,0.35713967380668,Notch1,9.7253015,8.3703489,0.194843532050063,0.162296141756617
