kegg_pair,Enzyme1,WT_MEF.x,WT_BMDM.x,log2diff.x,Enzyme2,WT_MEF.y,WT_BMDM.y,log2diff.y,m1
cyp1a1-hsd17b1,cyp1a1,0.513104,0,0.597511151551863,hsd17b1,0.151799,0.627773,-0.499010548965625,1.09652170051749
hsd17b1-cyp1a1,hsd17b1,0.151799,0.627773,-0.499010548965625,cyp1a1,0.513104,0,0.597511151551863,1.09652170051749
pla2g4c-cyp4f13,pla2g4c,0.392526,0.3193844,0.0778393123882477,cyp4f13,5.568814,12.307916,-1.01857984458035,1.0964191569686
fbp2-gpi1,fbp2,0.149921,0,0.201534750888667,gpi1,302.485412,563.249801,-0.894706834224666,1.09624158511333
mthfr-shmt1,mthfr,32.35802605,34.81140201,-0.102385080704207,shmt1,17.23504365,8.158397052,0.993546635218413,1.09593171592262
adcy2-polr2l,adcy2,2.76882,3.28406,-0.184865792669899,polr2l,61.9088,32.468,0.910479502474467,1.09534529514437
acsm2-acsm3,acsm2,0.0445849,0.0713557,-0.0365077936239659,acsm3,1.9757028,0.4284538,1.05877606722873,1.09528386085269
pik3ca-plch1,pik3ca,15.541726,22.92663586,-0.532507788565908,plch1,0.476959677,0,0.562630439111343,1.09513822767725
sc5d-dhcr7,sc5d,77.24006,37.50832,1.02273729250691,dhcr7,35.791759,37.67749003,-0.0721115217101929,1.0948488142171
dgat2-pnlip,dgat2,4.58562,1.174303,1.36116442661375,pnlip,0.202947,0,0.266573080983183,1.09459134563057
pnlip-dgat2,pnlip,0.202947,0,0.266573080983183,dgat2,4.58562,1.174303,1.36116442661375,1.09459134563057
polr1e-polr2a,polr1e,20.95764,12.31333,0.721851531436936,polr2a,38.46130063,50.074902,-0.372176023244462,1.0940275546814
pi4k2a-pi4ka,pi4k2a,25.412,58.0806,-1.16149092657344,pi4ka,30.676775,32.19655127,-0.0676079076847858,1.09388301888866
gad2-carns1,gad2,0,0.0168533,-0.0241115586167405,carns1,1.46046,0.172164,1.06975362812337,1.09386518674011
gmpr-nt5c1b,gmpr,9.22173,14.792663,-0.627615073557022,nt5c1b,0.381089475,0,0.465806788790208,1.09342186234723
ldhb-me3,ldhb,59.008937,5.366087,3.23669859581447,me3,9.574514,1.3932219,2.14356528408538,1.09313331172909
gstt2-txndc12,gstt2,2.691831493,5.047447356,-0.711989600098558,txndc12,86.790554,66.421871,0.380849054869918,1.09283865496848
pipox-tha1,pipox,0.0489519,0,0.0689485242235932,tha1,1.304755,3.68643,-1.02387593623744,1.09282446046103
plch2-synj2,plch2,0.263221,0.0241039,0.302744969378054,synj2,10.908392,19.588611,-0.789867884526568,1.09261285390462
ugdh-ugt2b36,ugdh,135.9114967,60.02709,1.16572189326489,ugt2b36,0.0520357,0,0.0731836621768622,1.09253823108803
gpx7-gstp1,gpx7,65.1881,0.573181,5.39481528475329,gstp1,164.513,7.38881,4.30233455508118,1.09248072967211
aco2-idh3a,aco2,123.380452,132.534738,-0.10245533131676,idh3a,97.89757,48.792769,0.989998826533099,1.09245415784986
lipc-agk,lipc,0,0.740244,-0.799289600850205,agk,15.1395406,12.1734428,0.292967079421974,1.09225668027218
entpd8-pde4b,entpd8,0,0,0,pde4b,10.2847264,4.293314,1.09212829812041,1.09212829812041
pde11a-pde4b,pde11a,0,0,0,pde4b,10.2847264,4.293314,1.09212829812041,1.09212829812041
pde4b-4933425l06rik,pde4b,10.2847264,4.293314,1.09212829812041,4933425l06rik,0,0,0,1.09212829812041
pde4b-nt5c1a,pde4b,10.2847264,4.293314,1.09212829812041,nt5c1a,0,0,0,1.09212829812041
mtmr14-pip4k2a,mtmr14,19.3117109,25.456351,-0.381302325076736,pip4k2a,17.1906,49.51156,-1.47342046895229,1.09211814387555
nt5c1b-nt5c2,nt5c1b,0.381089475,0,0.465806788790208,nt5c2,20.11352,31.59023,-0.626272411979716,1.09207920076992
gmpr2-nt5m,gmpr2,28.274,57.4798,-0.998318488206611,nt5m,20.664722,19.3212289,0.0923600743174573,1.09067856252407
nme2-polr2c,nme2,1301.681,422.73,1.62026666061989,polr2c,71.960196,49.5415855,0.529638682523803,1.09062797809609
gss-gsto2,gss,57.68385,16.525223,1.74353072130531,gsto2,1.42778,0.543863,0.653092957941813,1.0904377633635
lpcat4-pla2g6,lpcat4,25.626301,12.732247,0.955284307055464,pla2g6,13.89847303,2.608515,2.04568731704701,1.09040300999155
pla2g6-lpcat4,pla2g6,13.89847303,2.608515,2.04568731704701,lpcat4,25.626301,12.732247,0.955284307055464,1.09040300999155
enpp1-pgm2,enpp1,20.2225596,10.5818478,0.873733223354871,pgm2,37.4285,43.6529,-0.216577210761249,1.09031043411612
acaa2-acat2,acaa2,54.5911,35.8603,0.592786116588925,acat2,66.98181,20.17851,1.68254768076392,1.089761564175
ugt2a3-uxs1,ugt2a3,0,0.0476089,-0.0671002213220732,uxs1,71.638891,34.75357,1.02265487430706,1.08975509562913
polr3c-polr3h,polr3c,22.510331,31.485591,-0.466505101196267,polr3h,12.8847,8.01423,0.623219839572228,1.0897249407685
galc-asah1,galc,32.7383852,49.5008776,-0.581917534680732,asah1,438.879063,308.396461,0.50765023991568,1.08956777459641
dgat2-dgkk,dgat2,4.58562,1.174303,1.36116442661375,dgkk,0.207292001,0,0.271774654921108,1.08938977169264
dao-shmt1,dao,0,0.0679419,-0.094833161199709,shmt1,17.23504365,8.158397052,0.993546635218413,1.08837979641812
fnta-ggps1,fnta,91.576461,51.97167,0.805424420371501,ggps1,21.479365,26.349745,-0.282926099168946,1.08835051954045
ggps1-fnta,ggps1,21.479365,26.349745,-0.282926099168946,fnta,91.576461,51.97167,0.805424420371501,1.08835051954045
chpt1-pld1,chpt1,22.56556993,13.032898,0.747867595663594,pld1,4.9394901,6.5195809,-0.340313174030462,1.08818076969406
adcy9-polr2g,adcy9,2.523206553,6.69565031,-1.12715418723735,polr2g,116.499,119.733,-0.0391715839342828,1.08798260330307
guk1-nme4,guk1,84.92907,34.802822,1.26307297489254,nme4,39.51557,34.88166,0.175229802030971,1.08784317286157
dck-aprt,dck,16.907562,60.083416,-1.77021180799145,aprt,275.874308,443.42848,-0.682720083005901,1.08749172498555
4933425l06rik-uck2,4933425l06rik,0,0,0,uck2,79.72347,37.00599056,1.08676135565119,1.08676135565119
entpd8-uck2,entpd8,0,0,0,uck2,79.72347,37.00599056,1.08676135565119,1.08676135565119
nt5c1a-uck2,nt5c1a,0,0,0,uck2,79.72347,37.00599056,1.08676135565119,1.08676135565119
uck2-4933425l06rik,uck2,79.72347,37.00599056,1.08676135565119,4933425l06rik,0,0,0,1.08676135565119
